"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"EVBS","Eastern Virginia Bankshares, Inc.","4.18","25217940","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/evbs",
"EBAY","eBay Inc.","45.36","58570102080","n/a","1995","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/ebay",
"EBIX","Ebix Inc","23.17","845033070","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/ebix",
"ELON","Echelon Corporation","3.32","141445280","n/a","1998","Technology","Computer Communications Equipment","http://www.nasdaq.com/symbol/elon",
"ECHO","Echo Global Logistics, Inc.","18.75","426562500","n/a","2009","Transportation","Oil Refining/Marketing","http://www.nasdaq.com/symbol/echo",
"ECTE","Echo Therapeutics, Inc.","1.43","56053140","n/a","n/a","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","http://www.nasdaq.com/symbol/ecte",
"SATS","EchoStar Corporation","28.72","1130361760","n/a","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/sats",
"EEI","Ecology and Environment, Inc.","12.12","31536240","n/a","1987","Consumer Services","Military/Government/Technical","http://www.nasdaq.com/symbol/eei",
"ECTY","Ecotality, Inc.","0.64","15303680","n/a","n/a","Consumer Durables","Metal Fabrications","http://www.nasdaq.com/symbol/ecty",
"EDAC","Edac Technologies Corporation","13.76","70038400","n/a","n/a","Capital Goods","Aerospace","http://www.nasdaq.com/symbol/edac",
"EDAP","EDAP TMS S.A.","1.7","31591866.7","18583451","1997","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","http://www.nasdaq.com/symbol/edap",
"EF","Edelman Financial Group Inc. (The)","8.81","260758380","n/a","1990","Finance","Investment Managers","http://www.nasdaq.com/symbol/ef",
"EDGR","EDGAR Online, Inc.","1.08","37919880","n/a","1999","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/edgr",
"EDGW","Edgewater Technology, Inc.","3.84","43503360","n/a","n/a","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/edgw",
"EDMC","Education Management Corporation","3.2","400419200","n/a","1984","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/edmc",
"EDUC","Educational Development Corporation","3.956","15535212","n/a","n/a","Consumer Durables","Consumer Specialties","http://www.nasdaq.com/symbol/educ",
"EVAC","Edwards Group Limited","7.32","91500000","12500000","n/a","Capital Goods","Fluid Controls","http://www.nasdaq.com/symbol/evac",
"EFUT","eFuture Information Technology Inc.","4.15","16504550","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/efut",
"EGAN","eGain Communications Corporation","5.22","127488060","n/a","1999","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/egan",
"EHTH","eHealth, Inc.","17.6","344748800","n/a","2006","Finance","Specialty Insurers","http://www.nasdaq.com/symbol/ehth",
"BAGL","Einstein Noah Restaurant Group, Inc.","17.2","290628400","n/a","1995","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/bagl",
"EMITF","Elbit Imaging Ltd.","2.3","57237800","n/a","n/a","Consumer Services","Building operators","http://www.nasdaq.com/symbol/emitf",
"ESLT","Elbit Systems Ltd.","31.26","1326924480","n/a","n/a","Capital Goods","Military/Government/Technical","http://www.nasdaq.com/symbol/eslt",
"ESYS","Elecsys Corporation","3.79","14720360","n/a","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/esys",
"ELRC","Electro Rent Corporation","16.66","399640080","n/a","n/a","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/elrc",
